0 0.9000  -528.5798 -1387786.3587 1334.1337
1 0.9100  -528.6125 -1387872.0552 1248.4372
2 0.9201  -528.6431 -1387952.4056 1168.0868
3 0.9301  -528.6718 -1388027.9074 1092.5850
4 0.9401  -528.6988 -1388098.8104 1021.6820
5 0.9501  -528.7242 -1388165.4517 955.0407
6 0.9602  -528.7480 -1388227.9700 892.5224
7 0.9702  -528.7704 -1388286.5675 833.9249
8 0.9802  -528.7913 -1388341.5674 778.9250
9 0.9902  -528.8109 -1388393.0740 727.4185
10 1.0003  -528.8293 -1388441.2886 679.2038
11 1.0103  -528.8465 -1388486.4343 634.0581
12 1.0203  -528.8625 -1388528.6217 591.8707
13 1.0303  -528.8776 -1388568.0797 552.4127
14 1.0404  -528.8916 -1388604.9074 515.5850
15 1.0504  -528.9047 -1388639.2564 481.2360
16 1.0604  -528.9169 -1388671.3007 449.1918
17 1.0704  -528.9283 -1388701.1395 419.3529
18 1.0805  -528.9388 -1388728.8809 391.6115
19 1.0905  -528.9487 -1388754.6936 365.7988
20 1.1005  -528.9578 -1388778.6369 341.8555
21 1.1105  -528.9662 -1388800.8159 319.6765
22 1.1206  -528.9741 -1388821.4038 299.0886
23 1.1306  -528.9813 -1388840.4015 280.0909
24 1.1406  -528.9880 -1388857.9620 262.5304
25 1.1506  -528.9941 -1388874.1256 246.3668
26 1.1607  -528.9998 -1388889.0207 231.4717
27 1.1707  -529.0050 -1388902.6752 217.8172
28 1.1807  -529.0098 -1388915.1952 205.2972
29 1.1907  -529.0141 -1388926.6480 193.8444
30 1.2008  -529.0181 -1388937.0741 183.4183
31 1.2108  -529.0217 -1388946.5765 173.9160
32 1.2208  -529.0250 -1388955.1737 165.3187
33 1.2308  -529.0280 -1388962.9401 157.5523
34 1.2409  -529.0306 -1388969.9533 150.5391
35 1.2509  -529.0330 -1388976.2199 144.2725
36 1.2609  -529.0352 -1388981.8232 138.6692
37 1.2709  -529.0371 -1388986.7960 133.6964
38 1.2810  -529.0387 -1388991.1741 129.3183
39 1.2910  -529.0402 -1388995.0112 125.4812
40 1.3010  -529.0415 -1388998.3647 122.1277
41 1.3110  -529.0426 -1389001.2327 119.2597
42 1.3211  -529.0435 -1389003.6838 116.8086
43 1.3311  -529.0443 -1389005.7422 114.7502
44 1.3411  -529.0449 -1389007.4287 113.0637
45 1.3511  -529.0454 -1389008.8052 111.6872
46 1.3612  -529.0458 -1389009.8664 110.6260
47 1.3712  -529.0461 -1389010.6394 109.8530
48 1.3812  -529.0464 -1389011.2275 109.2649
49 1.3912  -529.0465 -1389011.5561 108.9364
50 1.4013  -529.0465 -1389011.7133 108.7791
51 1.4113  -529.0465 -1389011.6821 108.8103
52 1.4213  -529.0465 -1389011.5312 108.9612
53 1.4313  -529.0464 -1389011.2325 109.2599
54 1.4414  -529.0462 -1389010.8510 109.6414
55 1.4514  -529.0460 -1389010.3428 110.1496
56 1.4614  -529.0458 -1389009.8455 110.6469
57 1.4714  -529.0456 -1389009.2436 111.2488
58 1.4815  -529.0454 -1389008.6875 111.8049
59 1.4915  -529.0452 -1389008.0532 112.4392
60 1.5015  -529.0449 -1389007.4673 113.0251
61 1.5115  -529.0447 -1389006.8562 113.6362
62 1.5216  -529.0445 -1389006.3563 114.1361
63 1.5316  -529.0443 -1389005.8252 114.6672
64 1.5416  -529.0441 -1389005.4103 115.0821
65 1.5516  -529.0440 -1389005.0018 115.4907
66 1.5617  -529.0439 -1389004.8095 115.6829
67 1.5717  -529.0438 -1389004.5921 115.9003
68 1.5817  -529.0438 -1389004.5120 115.9804
69 1.5917  -529.0438 -1389004.4626 116.0298
70 1.6018  -529.0438 -1389004.6023 115.8901
71 1.6118  -529.0439 -1389004.8810 115.6114
72 1.6218  -529.0441 -1389005.1828 115.3096
73 1.6318  -529.0442 -1389005.6136 114.8788
74 1.6419  -529.0444 -1389006.0949 114.3975
75 1.6519  -529.0447 -1389006.8139 113.6785
76 1.6619  -529.0449 -1389007.4956 112.9968
77 1.6719  -529.0453 -1389008.3333 112.1591
78 1.6820  -529.0456 -1389009.1720 111.3204
79 1.6920  -529.0460 -1389010.3102 110.1822
80 1.7020  -529.0464 -1389011.3589 109.1335
81 1.7120  -529.0468 -1389012.4505 108.0419
82 1.7221  -529.0473 -1389013.6758 106.8166
83 1.7321  -529.0478 -1389014.8874 105.6050
84 1.7421  -529.0482 -1389016.1747 104.3177
85 1.7521  -529.0487 -1389017.4715 103.0209
86 1.7622  -529.0493 -1389018.8688 101.6236
87 1.7722  -529.0498 -1389020.2411 100.2513
88 1.7822  -529.0504 -1389021.7693 98.7232
89 1.7922  -529.0509 -1389023.2096 97.2828
90 1.8023  -529.0515 -1389024.7727 95.7197
91 1.8123  -529.0521 -1389026.2675 94.2249
92 1.8223  -529.0527 -1389027.8268 92.6656
93 1.8323  -529.0533 -1389029.3539 91.1385
94 1.8424  -529.0539 -1389030.9919 89.5005
95 1.8524  -529.0545 -1389032.5475 87.9449
96 1.8624  -529.0551 -1389034.1823 86.3101
97 1.8724  -529.0557 -1389035.7523 84.7401
98 1.8825  -529.0563 -1389037.3544 83.1380
99 1.8925  -529.0569 -1389038.9275 81.5649
