Reaction; dE; dG; LUMO(S); LUMO(T); Ring Deviation (S); Ring Deviation (T); Angle C-N-N (S); Angle C-N-N (T); Dist C-N (S); Dist C-N (T); Dist N-N (S); Dist N-N (T);
"CH3-N2+(S) = CH3-N2+(T)"; 475.77; 453.78; -0.326390; -0.541320; 0.0000; 0.0000; 180; 127; 1.4558; 1.3932; 1.1029; 1.2321;
"C2H5-N2+(S) = C2H5-N2+(T)"; 438.59; 408.62; -0.309530; -0.500610; 0.0000; 0.0000; 178; 124; 1.4893; 1.4161; 1.1032; 1.2098;
"1-CH3-C2H4-N2+(S) = 1-CH3-C2H4-N2+(T)"; 406.37; 384.37; -0.293210; -0.443500; 0.0000; 0.0000; 178; 122; 1.5442; 1.4319; 1.1033; 1.1949;
"1,1-(CH3)2-C2H3-N2+(S) = 1,1-(CH3)2-C2H3-N2+(T)"; 452.46; 468.05; -0.314080; -0.415860; 0.0000; 0.0000; 0; 121; 0.0000; 1.4623; 0.0000; 1.1881;
"Pyridine-2-N2+(S) = Pyridine-2-N2+(T)"; 253.68; 236.77; -0.312160; -0.411250; 0.0003; 0.2280; 179; 137; 1.4249; 1.4089; 1.1090; 1.1708;
"Pyridine-3-N2+(S) = Pyridine-3-N2+(T)"; 235.64; 220.73; -0.314260; -0.412520; 0.0007; 0.1537; 178; 124; 1.3788; 1.4357; 1.1145; 1.1854;
"Pyridine-4-N2+(S) = Pyridine-4-N2+(T)"; 198.71; 186.29; -0.324880; -0.385000; 0.0000; 0.0002; 180; 180; 1.3961; 1.3407; 1.1108; 1.1406;
"Pyrazine-2-N2+(S) = Pyrazine-2-N2+(T)"; 217.44; 202.88; -0.328560; -0.402910; 0.0004; 0.0193; 178; 166; 1.4177; 1.3487; 1.1098; 1.1446;
"Pyrimidine-2-N2+(S) = Pyrimidine-2-N2+(T)"; 227.72; 215.34; -0.322520; -0.402420; 0.0003; 0.0003; 180; 180; 1.4750; 1.3310; 1.1050; 1.1450;
"Pyrimidine-4-N2+(S) = Pyrimidine-4-N2+(T)"; 189.93; 181.12; -0.335000; -0.396630; 0.0001; 0.0005; 178; 179; 1.4490; 1.3436; 1.1064; 1.1393;
"Pyrimidine-5-N2+(S) = Pyrimidine-5-N2+(T)"; 208.07; 195.33; -0.329610; -0.394600; 0.0003; 0.0002; 180; 180; 1.3745; 1.3322; 1.1148; 1.1442;
"1,2,3-Triazine-4-N2+(S) = 1,2,3-Triazine-4-N2+(T)"; 118.03; 114.82; -0.354470; -0.384860; 0.0005; 0.0002; 176; 180; 1.4319; 1.3371; 1.1073; 1.1375;
"1,2,3-Triazine-5-N2+(S) = 1,2,3-Triazine-5-N2+(T)"; 110.01; 106.43; -0.360700; -0.382160; 0.0002; 0.0004; 180; 180; 1.3883; 1.3371; 1.1125; 1.1352;
"1,2,4-Triazine-3-N2+(S) = 1,2,4-Triazine-3-N2+(T)"; 137.11; 129.96; -0.342270; -0.387590; 0.0006; 0.0009; 178; 180; 1.4584; 1.3332; 1.1051; 1.1403;
"1,2,4-Triazine-5-N2+(S) = 1,2,4-Triazine-5-N2+(T)"; 94.75; 92.06; -0.355380; -0.382590; 0.0010; 0.0001; 176; 180; 1.4461; 1.3449; 1.1075; 1.1353;
"1,2,4-Triazine-6-N2+(S) = 1,2,4-Triazine-6-N2+(T)"; 128.49; 121.57; -0.348200; -0.387580; 0.0003; 0.0005; 180; 179; 1.4036; 1.3318; 1.1102; 1.1396;
"1,3,5-Triazine-2-N2+(S) = 1,3,5-Triazine-2-N2+(T)"; 209.32; 200.26; -0.342070; -0.417670; 0.0005; 0.0006; 180; 180; 1.5140; 1.3517; 1.1031; 1.1343;
"N-O-Pyridine-2-N2+(S) = N-O-Pyridine-2-N2+(T)"; 147.58; 136.10; -0.317800; -0.374990; 0.0003; 0.0018; 179; 179; 1.3630; 1.3324; 1.1160; 1.1449;
"N-O-Pyridine-3-N2+(S) = N-O-Pyridine-3-N2+(T)"; 126.62; 115.65; -0.322550; -0.369880; 0.0017; 0.0003; 180; 178; 1.3877; 1.3399; 1.1126; 1.1441;
"N-O-Pyridine-4-N2+(S) = N-O-Pyridine-4-N2+(T)"; 143.43; 132.07; -0.311690; -0.370370; 0.0001; 0.0000; 180; 180; 1.3635; 1.3414; 1.1193; 1.1427;
