Reaction; dE; dG; LUMO(Ar+); LUMO(Ar-N2+); Ring Deviation Ar+; Ring Deviation (Ar-N2+); Angle C-N-N; Dist C-N; Dist N-N;
"CH3+(S) + N2 = CH3-N2+(S)"; -199.59; -142.34; -0.486590; -0.326390; 0.0000; 0.0000; 180; 1.4558; 1.1029;
"CH3+(T) + N2 = CH3-N2+(S)"; -539.27; -461.53; -0.544280; -0.326390; 0.0000; 0.0000; 180; 1.4558; 1.1029;
"C2H5+(S) + N2 = C2H5-N2+(S)"; -53.88; 3.44; -0.324030; -0.309530; 0.0000; 0.0000; 178; 1.4893; 1.1032;
"C2H5+(T) + N2 = C2H5-N2+(S)"; -407.19; -319.55; -0.496720; -0.309530; 0.0000; 0.0000; 178; 1.4893; 1.1032;
"1-CH3-C2H4+(S) + N2 = 1-CH3-C2H4-N2+(S)"; 9.98; 70.31; -0.347960; -0.293210; 0.0000; 0.0000; 178; 1.5442; 1.1033;
"1-CH3-C2H4+(T) + N2 = 1-CH3-C2H4-N2+(S)"; -359.08; -273.87; -0.466640; -0.293210; 0.0000; 0.0000; 178; 1.5442; 1.1033;
"1,1-(CH3)2-C2H3+(S) + N2 = 1,1-(CH3)2-C2H3-N2+(S)"; -7.79; 19.95; -0.321560; -0.314080; 0.0000; 0.0000; 0; 0.0000; 0.0000;
"1,1-(CH3)2-C2H3+(T) + N2 = 1,1-(CH3)2-C2H3-N2+(S)"; -387.82; -346.28; -0.428030; -0.314080; 0.0000; 0.0000; 0; 0.0000; 0.0000;
"Pyridine-2+(S) + N2 = Pyridine-2-N2+(S)"; -53.71; 1.37; -0.343690; -0.312160; 0.0005; 0.0003; 179; 1.4249; 1.1090;
"Pyridine-2+(T) + N2 = Pyridine-2-N2+(S)"; -225.00; -160.50; -0.430750; -0.312160; 0.0012; 0.0003; 179; 1.4249; 1.1090;
"Pyridine-3+(S) + N2 = Pyridine-3-N2+(S)"; -116.91; -58.51; -0.341510; -0.314260; 0.0011; 0.0007; 178; 1.3788; 1.1145;
"Pyridine-3+(T) + N2 = Pyridine-3-N2+(S)"; -219.46; -156.54; -0.416460; -0.314260; 0.2607; 0.0007; 178; 1.3788; 1.1145;
"Pyridine-4+(S) + N2 = Pyridine-4-N2+(S)"; -108.65; -45.36; -0.368060; -0.324880; 0.0005; 0.0000; 180; 1.3961; 1.1108;
"Pyridine-4+(T) + N2 = Pyridine-4-N2+(S)"; -194.84; -132.27; -0.411220; -0.324880; 0.0002; 0.0000; 180; 1.3961; 1.1108;
"Pyrazine-2+(S) + N2 = Pyrazine-2-N2+(S)"; -39.04; 14.35; -0.355910; -0.328560; 0.0007; 0.0004; 178; 1.4177; 1.1098;
"Pyrazine-2+(T) + N2 = Pyrazine-2-N2+(S)"; -213.58; -152.55; -0.435720; -0.328560; 0.2523; 0.0004; 178; 1.4177; 1.1098;
"Pyrimidine-2+(S) + N2 = Pyrimidine-2-N2+(S)"; -54.97; -1.77; -0.342040; -0.322520; 0.0003; 0.0003; 180; 1.4750; 1.1050;
"Pyrimidine-2+(T) + N2 = Pyrimidine-2-N2+(S)"; -189.81; -132.64; -0.413720; -0.322520; 0.0019; 0.0003; 180; 1.4750; 1.1050;
"Pyrimidine-4+(S) + N2 = Pyrimidine-4-N2+(S)"; -26.71; 27.02; -0.360100; -0.335000; 0.0026; 0.0001; 178; 1.4490; 1.1064;
"Pyrimidine-4+(T) + N2 = Pyrimidine-4-N2+(S)"; -203.93; -145.46; -0.434950; -0.335000; 0.0000; 0.0001; 178; 1.4490; 1.1064;
"Pyrimidine-5+(S) + N2 = Pyrimidine-5-N2+(S)"; -141.60; -79.98; -0.381390; -0.329610; 0.0004; 0.0003; 180; 1.3745; 1.1148;
"Pyrimidine-5+(T) + N2 = Pyrimidine-5-N2+(S)"; -176.32; -117.09; -0.413310; -0.329610; 0.0002; 0.0003; 180; 1.3745; 1.1148;
"1,2,3-Triazine-4+(S) + N2 = 1,2,3-Triazine-4-N2+(S)"; 179.45; 238.99; -0.365020; -0.354470; 0.0000; 0.0005; 176; 1.4319; 1.1073;
"1,2,3-Triazine-4+(T) + N2 = 1,2,3-Triazine-4-N2+(S)"; -125.09; -72.87; -0.422920; -0.354470; 0.0000; 0.0005; 176; 1.4319; 1.1073;
"1,2,3-Triazine-5+(S) + N2 = 1,2,3-Triazine-5-N2+(S)"; -55.78; -3.28; -0.393150; -0.360700; 0.0029; 0.0002; 180; 1.3883; 1.1125;
