0 0.9000  -356.1660 -935113.7433 1291.7855
1 0.9200  -356.2317 -935286.2764 1119.2524
2 0.9401  -356.2898 -935438.8642 966.6646
3 0.9601  -356.3411 -935573.6189 831.9099
4 0.9801  -356.3864 -935692.4264 713.1024
5 1.0001  -356.4262 -935796.9770 608.5518
6 1.0202  -356.4612 -935888.7818 516.7470
7 1.0402  -356.4918 -935969.1916 436.3372
8 1.0602  -356.5185 -936039.4175 366.1113
9 1.0802  -356.5418 -936100.5453 304.9835
10 1.1003  -356.5620 -936153.5497 251.9791
11 1.1203  -356.5794 -936199.3056 206.2232
12 1.1403  -356.5944 -936238.5987 166.9301
13 1.1603  -356.6072 -936272.1354 133.3934
14 1.1804  -356.6180 -936300.5527 104.9761
15 1.2004  -356.6271 -936324.4250 81.1038
16 1.2204  -356.6346 -936344.2705 61.2583
17 1.2404  -356.6409 -936360.5560 44.9728
18 1.2605  -356.6459 -936373.7021 31.8267
19 1.2805  -356.6498 -936384.0882 21.4406
20 1.3005  -356.6528 -936392.0574 13.4714
21 1.3205  -356.6551 -936397.9196 7.6092
22 1.3406  -356.6566 -936401.9550 3.5738
23 1.3606  -356.6576 -936404.4159 1.1129
24 1.3806  -356.6580 -936405.5288 0.0000
25 1.4006  -356.6580 -936405.4976 0.0312
26 1.4207  -356.6576 -936404.5052 1.0236
27 1.4407  -356.6569 -936402.7163 2.8125
28 1.4607  -356.6560 -936400.2778 5.2510
29 1.4807  -356.6549 -936397.3211 8.2077
30 1.5008  -356.6536 -936393.9623 11.5665
31 1.5208  -356.6522 -936390.3037 15.2251
32 1.5408  -356.6507 -936386.4345 19.0943
33 1.5608  -356.6492 -936382.4327 23.0961
34 1.5809  -356.6476 -936378.3655 27.1633
35 1.6009  -356.6461 -936374.2904 31.2384
36 1.6209  -356.6445 -936370.2563 35.2725
37 1.6409  -356.6430 -936366.3033 39.2255
38 1.6610  -356.6416 -936362.4643 43.0645
39 1.6810  -356.6402 -936358.7650 46.7638
40 1.7010  -356.6388 -936355.2255 50.3033
41 1.7210  -356.6375 -936351.8602 53.6686
42 1.7411  -356.6363 -936348.6790 56.8498
43 1.7611  -356.6352 -936345.6880 59.8408
44 1.7811  -356.6341 -936342.8896 62.6392
45 1.8011  -356.6331 -936340.2833 65.2455
46 1.8212  -356.6322 -936337.8660 67.6628
47 1.8412  -356.6314 -936335.6323 69.8965
48 1.8612  -356.6306 -936333.5755 71.9533
49 1.8812  -356.6299 -936331.6873 73.8415
50 1.9013  -356.6292 -936329.9586 75.5702
51 1.9213  -356.6286 -936328.3796 77.1492
52 1.9413  -356.6280 -936326.9402 78.5886
53 1.9613  -356.6275 -936325.6299 79.8989
54 1.9814  -356.6271 -936324.4384 81.0904
55 2.0014  -356.6267 -936323.3555 82.1733
56 2.0214  -356.6263 -936322.3710 83.1578
57 2.0414  -356.6260 -936321.4753 84.0535
58 2.0615  -356.6257 -936320.6527 84.8761
59 2.0815  -356.6254 -936319.9138 85.6150
60 2.1015  -356.6251 -936319.2255 86.3033
61 2.1215  -356.6249 -936318.6038 86.9250
62 2.1416  -356.6247 -936318.0196 87.5092
63 2.1616  -356.6244 -936317.4868 88.0420
64 2.1816  -356.6243 -936316.9809 88.5479
65 2.2016  -356.6241 -936316.5137 89.0151
66 2.2217  -356.6239 -936316.0648 89.4640
67 2.2417  -356.6237 -936315.6445 89.8843
68 2.2617  -356.6236 -936315.2358 90.2930
69 2.2817  -356.6234 -936314.8477 90.6811
70 2.3018  -356.6233 -936314.4661 91.0627
71 2.3218  -356.6232 -936314.0924 91.4364
72 2.3418  -356.6230 -936313.7366 91.7922
73 2.3618  -356.6229 -936313.3778 92.1510
74 2.3819  -356.6227 -936313.0217 92.5071
75 2.4019  -356.6226 -936312.6765 92.8523
76 2.4219  -356.6225 -936312.3262 93.2026
77 2.4419  -356.6223 -936311.9758 93.5530
78 2.4620  -356.6222 -936311.6301 93.8987
79 2.4820  -356.6221 -936311.2838 94.2450
80 2.5020  -356.6220 -936310.9329 94.5959
81 2.5220  -356.6218 -936310.5862 94.9426
82 2.5421  -356.6217 -936310.2339 95.2949
83 2.5621  -356.6216 -936309.8857 95.6431
84 2.5821  -356.6214 -936309.5321 95.9967
85 2.6021  -356.6213 -936309.1828 96.3460
86 2.6222  -356.6211 -936308.8281 96.7007
87 2.6422  -356.6210 -936308.4781 97.0507
88 2.6622  -356.6209 -936308.1255 97.4033
89 2.6822  -356.6207 -936307.7730 97.7558
90 2.7023  -356.6206 -936307.4208 98.1080
91 2.7223  -356.6205 -936307.0693 98.4595
92 2.7423  -356.6203 -936306.7188 98.8100
93 2.7623  -356.6202 -936306.3697 99.1591
94 2.7824  -356.6201 -936306.0223 99.5065
95 2.8024  -356.6199 -936305.6770 99.8518
96 2.8224  -356.6198 -936305.3341 100.1947
97 2.8424  -356.6197 -936304.9939 100.5349
98 2.8625  -356.6196 -936304.6569 100.8719
99 2.8825  -356.6194 -936304.3230 101.2058
100 2.9025  -356.6193 -936303.9927 101.5361
101 2.9225  -356.6192 -936303.6659 101.8629
102 2.9426  -356.6191 -936303.3430 102.1858
103 2.9626  -356.6189 -936303.0238 102.5050
104 2.9826  -356.6188 -936302.7088 102.8200
105 3.0026  -356.6187 -936302.3978 103.1310
106 3.0227  -356.6186 -936302.0912 103.4376
107 3.0427  -356.6185 -936301.7892 103.7396
108 3.0627  -356.6184 -936301.4918 104.0370
109 3.0827  -356.6182 -936301.1993 104.3295
110 3.1028  -356.6181 -936300.9118 104.6170
111 3.1228  -356.6180 -936300.6295 104.8993
112 3.1428  -356.6179 -936300.3525 105.1763
113 3.1628  -356.6178 -936300.0808 105.4480
114 3.1829  -356.6177 -936299.8145 105.7143
115 3.2029  -356.6176 -936299.5534 105.9754
116 3.2229  -356.6175 -936299.2976 106.2312
117 3.2429  -356.6174 -936299.0469 106.4819
118 3.2630  -356.6173 -936298.8011 106.7277
119 3.2830  -356.6172 -936298.5602 106.9686
120 3.3030  -356.6171 -936298.3240 107.2048
121 3.3230  -356.6171 -936298.0926 107.4362
122 3.3431  -356.6170 -936297.8659 107.6629
123 3.3631  -356.6169 -936297.6439 107.8849
124 3.3831  -356.6168 -936297.4265 108.1023
125 3.4031  -356.6167 -936297.2139 108.3149
126 3.4232  -356.6166 -936297.0060 108.5228
127 3.4432  -356.6166 -936296.8029 108.7259
128 3.4632  -356.6165 -936296.6044 108.9244
129 3.4832  -356.6164 -936296.4107 109.1181
130 3.5033  -356.6163 -936296.2215 109.3073
131 3.5233  -356.6163 -936296.0368 109.4920
132 3.5433  -356.6162 -936295.8563 109.6725
133 3.5633  -356.6161 -936295.6800 109.8488
134 3.5834  -356.6161 -936295.5075 110.0213
135 3.6034  -356.6160 -936295.3388 110.1900
136 3.6234  -356.6159 -936295.1738 110.3550
137 3.6434  -356.6159 -936295.0122 110.5166
138 3.6635  -356.6158 -936294.8541 110.6747
139 3.6835  -356.6158 -936294.6995 110.8293
140 3.7035  -356.6157 -936294.5482 110.9806
141 3.7235  -356.6157 -936294.4004 111.1284
142 3.7436  -356.6156 -936294.2560 111.2728
143 3.7636  -356.6155 -936294.1151 111.4137
144 3.7836  -356.6155 -936293.9776 111.5512
145 3.8036  -356.6154 -936293.8436 111.6852
146 3.8237  -356.6154 -936293.7130 111.8158
147 3.8437  -356.6153 -936293.5856 111.9432
148 3.8637  -356.6153 -936293.4614 112.0674
149 3.8837  -356.6153 -936293.3402 112.1886
150 3.9038  -356.6152 -936293.2218 112.3070
151 3.9238  -356.6152 -936293.1062 112.4226
152 3.9438  -356.6151 -936292.9931 112.5357
153 3.9638  -356.6151 -936292.8827 112.6461
154 3.9839  -356.6150 -936292.7749 112.7539
155 4.0039  -356.6150 -936292.6697 112.8591
156 4.0239  -356.6150 -936292.5671 112.9617
157 4.0439  -356.6149 -936292.4670 113.0618
158 4.0640  -356.6149 -936292.3695 113.1593
159 4.0840  -356.6148 -936292.2744 113.2544
160 4.1040  -356.6148 -936292.1820 113.3468
161 4.1240  -356.6148 -936292.0920 113.4368
162 4.1441  -356.6147 -936292.0045 113.5243
163 4.1641  -356.6147 -936291.9196 113.6092
164 4.1841  -356.6147 -936291.8370 113.6918
165 4.2041  -356.6146 -936291.7567 113.7721
166 4.2242  -356.6146 -936291.6784 113.8504
167 4.2442  -356.6146 -936291.6020 113.9268
168 4.2642  -356.6146 -936291.5274 114.0014
169 4.2842  -356.6145 -936291.4545 114.0743
170 4.3043  -356.6145 -936291.3834 114.1455
171 4.3243  -356.6145 -936291.3139 114.2149
172 4.3443  -356.6145 -936291.2462 114.2826
173 4.3643  -356.6144 -936291.1802 114.3486
174 4.3844  -356.6144 -936291.1160 114.4128
175 4.4044  -356.6144 -936291.0535 114.4753
176 4.4244  -356.6144 -936290.9928 114.5360
177 4.4444  -356.6143 -936290.9338 114.5950
178 4.4645  -356.6143 -936290.8766 114.6522
179 4.4845  -356.6143 -936290.8210 114.7078
180 4.5045  -356.6143 -936290.7671 114.7617
181 4.5245  -356.6143 -936290.7147 114.8141
182 4.5446  -356.6142 -936290.6639 114.8649
183 4.5646  -356.6142 -936290.6145 114.9143
184 4.5846  -356.6142 -936290.5663 114.9625
185 4.6046  -356.6142 -936290.5192 115.0096
186 4.6247  -356.6142 -936290.4731 115.0557
187 4.6447  -356.6141 -936290.4280 115.1008
188 4.6647  -356.6141 -936290.3838 115.1450
189 4.6847  -356.6141 -936290.3405 115.1883
190 4.7048  -356.6141 -936290.2982 115.2306
191 4.7248  -356.6141 -936290.2567 115.2721
192 4.7448  -356.6141 -936290.2162 115.3126
193 4.7648  -356.6140 -936290.1769 115.3519
194 4.7849  -356.6140 -936290.1379 115.3909
195 4.8049  -356.6140 -936290.1003 115.4285
196 4.8249  -356.6140 -936290.0630 115.4658
197 4.8449  -356.6140 -936290.0272 115.5016
198 4.8650  -356.6140 -936289.9916 115.5372
199 4.8850  -356.6140 -936289.9574 115.5714
200 4.9050  -356.6139 -936289.9234 115.6054
201 4.9250  -356.6139 -936289.8909 115.6379
202 4.9451  -356.6139 -936289.8585 115.6703
