"Reaction "; dE; dG 298.15; dH 298.15; dS*298.15; 
"Pyrazine-2-N2+-UTriplet = Pyrazine-2-N2-UDoublet"; -927.00; -920.24; -920.77; -0.52; 
"Pyrimidine-2+-USinglet = Pyrimidine-2-UDoublet"; -778.73; -780.86; -779.10; 1.76; 
"Pyrimidine-2+-UTriplet = Pyrimidine-2-UDoublet"; -913.56; -911.73; -912.74; -1.01; 
"Pyrimidine-2-N2+-USinglet = Pyrimidine-2-N2-UDoublet"; -696.50; -703.20; -699.60; 3.60; 
"Pyrimidine-2-N2+-UTriplet = Pyrimidine-2-N2-UDoublet"; -924.22; -918.54; -920.50; -1.97; 
"Pyrimidine-4+-USinglet = Pyrimidine-4-UDoublet"; -788.46; -788.72; -786.96; 1.75; 
"Pyrimidine-4+-UTriplet = Pyrimidine-4-UDoublet"; -965.69; -961.19; -963.03; -1.84; 
"Pyrimidine-4-N2+-USinglet = Pyrimidine-4-N2-UDoublet"; -724.76; -730.82; -727.10; 3.72; 
"Pyrimidine-4-N2+-UTriplet = Pyrimidine-4-N2-UDoublet"; -914.68; -911.94; -912.15; -0.22; 
"Pyrimidine-5+-USinglet = Pyrimidine-5-UDoublet"; -868.71; -862.32; -865.05; -2.73; 
"Pyrimidine-5+-UTriplet = Pyrimidine-5-UDoublet"; -903.43; -899.43; -900.59; -1.17; 
"Pyrimidine-5-N2+-USinglet = Pyrimidine-5-N2-UDoublet"; -717.42; -723.67; -720.13; 3.55; 
"Pyrimidine-5-N2+-UTriplet = Pyrimidine-5-N2-UDoublet"; -925.49; -919.00; -920.00; -1.00; 
"1,2,3-Triazine-4+-USinglet = 1,2,3-Triazine-4-UDoublet"; -629.02; -623.69; -631.07; -7.38; 
"1,2,3-Triazine-4+-UTriplet = 1,2,3-Triazine-4-UDoublet"; -933.56; -935.55; -935.93; -0.38; 
"1,2,3-Triazine-4-N2+-USinglet = 1,2,3-Triazine-4-N2-UDoublet"; -767.47; -772.13; -768.86; 3.27; 
"1,2,3-Triazine-4-N2+-UTriplet = 1,2,3-Triazine-4-N2-UDoublet"; -885.50; -886.96; -886.48; 0.48; 
"1,2,3-Triazine-5+-USinglet = 1,2,3-Triazine-5-UDoublet"; -864.29; -864.07; -862.58; 1.49; 
"1,2,3-Triazine-5+-UTriplet = 1,2,3-Triazine-5-UDoublet"; -964.03; -955.53; -958.82; -3.29; 
"1,2,3-Triazine-5-N2+-USinglet = 1,2,3-Triazine-5-N2-UDoublet"; -754.94; -761.43; -757.59; 3.85; 
"1,2,3-Triazine-5-N2+-UTriplet = 1,2,3-Triazine-5-N2-UDoublet"; -864.95; -867.86; -866.35; 1.52; 
"1,2,4-Triazine-3+-USinglet = 1,2,4-Triazine-3-UDoublet"; -842.93; -843.39; -841.73; 1.67; 
"1,2,4-Triazine-3+-UTriplet = 1,2,4-Triazine-3-UDoublet"; -901.18; -902.46; -902.89; -0.43; 
"1,2,4-Triazine-3-N2+-USinglet = 1,2,4-Triazine-3-N2-UDoublet"; -740.00; -745.64; -742.53; 3.12; 
"1,2,4-Triazine-3-N2+-UTriplet = 1,2,4-Triazine-3-N2-UDoublet"; -877.11; -875.60; -875.96; -0.35; 
"1,2,4-Triazine-5+-USinglet = 1,2,4-Triazine-5-UDoublet"; -802.17; -804.47; -801.96; 2.51; 
"1,2,4-Triazine-5+-UTriplet = 1,2,4-Triazine-5-UDoublet"; -954.04; -952.29; -953.88; -1.59; 
"1,2,4-Triazine-5-N2+-USinglet = 1,2,4-Triazine-5-N2-UDoublet"; -769.09; -772.26; -770.22; 2.04; 
"1,2,4-Triazine-5-N2+-UTriplet = 1,2,4-Triazine-5-N2-UDoublet"; -863.84; -864.31; -863.80; 0.51; 
"1,2,4-Triazine-6+-USinglet = 1,2,4-Triazine-6-UDoublet"; -850.63; -851.87; -850.10; 1.77; 
"1,2,4-Triazine-6+-UTriplet = 1,2,4-Triazine-6-UDoublet"; -916.84; -916.00; -916.45; -0.45; 
"1,2,4-Triazine-6-N2+-USinglet = 1,2,4-Triazine-6-N2-UDoublet"; -753.96; -761.06; -755.81; 5.25; 
"1,2,4-Triazine-6-N2+-UTriplet = 1,2,4-Triazine-6-N2-UDoublet"; -882.45; -882.63; -880.65; 1.99; 
"1,3,5-Triazine-2+-USinglet = 1,3,5-Triazine-2-UDoublet"; -819.21; -820.19; -818.13; 2.06; 
"1,3,5-Triazine-2+-UTriplet = 1,3,5-Triazine-2-UDoublet"; -979.83; -976.66; -977.69; -1.03; 
"1,3,5-Triazine-2-N2+-USinglet = 1,3,5-Triazine-2-N2-UDoublet"; -749.56; -758.71; -751.16; 7.56; 
"1,3,5-Triazine-2-N2+-UTriplet = 1,3,5-Triazine-2-N2-UDoublet"; -958.88; -958.97; -955.18; 3.79; 
"N-O-Pyridine-2+-USinglet = N-O-Pyridine-2-UDoublet"; -901.33; -898.11; -898.14; -0.04; 
"N-O-Pyridine-2+-UTriplet = N-O-Pyridine-2-UDoublet"; -809.49; -808.69; -809.76; -1.08; 
"N-O-Pyridine-2-N2+-USinglet = N-O-Pyridine-2-N2-UDoublet"; -687.27; -693.31; -691.28; 2.03; 
"N-O-Pyridine-2-N2+-UTriplet = N-O-Pyridine-2-N2-UDoublet"; -834.85; -829.41; -834.43; -5.02; 
"N-O-Pyridine-3+-USinglet = N-O-Pyridine-3-UDoublet"; -867.63; -863.47; -863.64; -0.17; 
"N-O-Pyridine-3+-UTriplet = N-O-Pyridine-3-UDoublet"; -817.79; -816.32; -817.72; -1.39; 
"N-O-Pyridine-3-N2+-USinglet = N-O-Pyridine-3-N2-UDoublet"; -713.76; -720.51; -717.03; 3.48; 
"N-O-Pyridine-3-N2+-UTriplet = N-O-Pyridine-3-N2-UDoublet"; -840.37; -836.16; -838.30; -2.15; 
"N-O-Pyridine-4+-USinglet = N-O-Pyridine-4-UDoublet"; -878.27; -874.03; -873.81; 0.22; 
"N-O-Pyridine-4+-UTriplet = N-O-Pyridine-4-UDoublet"; -799.60; -798.52; -799.67; -1.15; 
"N-O-Pyridine-4-N2+-USinglet = N-O-Pyridine-4-N2-UDoublet"; -644.24; -654.89; -649.62; 5.27; 
"N-O-Pyridine-4-N2+-UTriplet = N-O-Pyridine-4-N2-UDoublet"; -787.67; -786.96; -787.87; -0.90; 
"Ph+-USinglet = Ph-UDoublet"; -801.48; -796.11; -796.32; -0.21; 
"Ph+-UTriplet = Ph-UDoublet"; -881.18; -875.48; -878.19; -2.71; 
"Ph-N2+-USinglet = Ph-N2-UDoublet"; -654.34; -661.87; -658.63; 3.24; 
"Ph-N2+-UTriplet = Ph-N2-UDoublet"; -901.66; -890.54; -898.12; -7.58; 
"4-NO2-Ph+-USinglet = 4-NO2-Ph-UDoublet"; -874.23; -867.56; -867.92; -0.36; 
"4-NO2-Ph+-UTriplet = 4-NO2-Ph-UDoublet"; -942.43; -931.54; -937.69; -6.15; 
"4-NO2-Ph-N2+-USinglet = 4-NO2-Ph-N2-UDoublet"; -682.75; -690.66; -686.45; 4.21; 
"4-NO2-Ph-N2+-UTriplet = 4-NO2-Ph-N2-UDoublet"; -869.55; -868.76; -867.06; 1.71; 
"4-CH3O-Ph+-USinglet = 4-CH3O-Ph-UDoublet"; -789.57; -783.50; -784.68; -1.17; 
"4-CH3O-Ph+-UTriplet = 4-CH3O-Ph-UDoublet"; -773.62; -772.26; -774.01; -1.75; 
"4-CH3O-Ph-N2+-USinglet = 4-CH3O-Ph-N2-UDoublet"; -616.93; -624.53; -621.82; 2.71; 
"4-CH3O-Ph-N2+-UTriplet = 4-CH3O-Ph-N2-UDoublet"; -806.86; -801.47; -805.65; -4.19; 
"Pyrrole-2+-USinglet = Pyrrole-2-UDoublet"; -842.68; -842.45; -840.43; 2.03; 
"Pyrrole-2+-UTriplet = Pyrrole-2-UDoublet"; -783.45; -783.74; -783.44; 0.30; 
"Pyrrole-2-N2+-USinglet = Pyrrole-2-N2-UDoublet"; -655.52; -662.06; -659.91; 2.15; 
"Pyrrole-2-N2+-UTriplet = Pyrrole-2-N2-UDoublet"; -823.78; -818.79; -821.12; -2.34; 
"Pyrrole-3+-USinglet = Pyrrole-3-UDoublet"; -850.31; -850.30; -848.66; 1.65; 
"Pyrrole-3+-UTriplet = Pyrrole-3-UDoublet"; -794.98; -792.93; -793.74; -0.80; 
"Pyrrole-3-N2+-USinglet = Pyrrole-3-N2-UDoublet"; -622.69; -631.14; -627.78; 3.36; 
"Pyrrole-3-N2+-UTriplet = Pyrrole-3-N2-UDoublet"; -827.45; -821.49; -824.62; -3.14; 
"Pyrazole-3+-USinglet = Pyrazole-3-UDoublet"; -912.78; -908.18; -909.40; -1.23; 
"Pyrazole-3+-UTriplet = Pyrazole-3-UDoublet"; -920.95; -916.53; -917.69; -1.16; 
"Pyrazole-3-N2+-USinglet = Pyrazole-3-N2-UDoublet"; -671.37; -679.66; -675.77; 3.89; 
"Pyrazole-3-N2+-UTriplet = Pyrazole-3-N2-UDoublet"; -927.12; -920.92; -923.39; -2.47; 
"Pyrazole-4+-USinglet = Pyrazole-4-UDoublet"; -913.31; -910.37; -910.56; -0.18; 
"Pyrazole-4+-UTriplet = Pyrazole-4-UDoublet"; -890.89; -886.99; -888.21; -1.22; 
"Pyrazole-4-N2+-USinglet = Pyrazole-4-N2-UDoublet"; -666.95; -674.17; -670.99; 3.18; 
"Pyrazole-4-N2+-UTriplet = Pyrazole-4-N2-UDoublet"; -916.54; -907.78; -912.23; -4.46; 
"Pyrazole-5+-USinglet = Pyrazole-5-UDoublet"; -950.19; -944.90; -944.55; 0.35; 
"Pyrazole-5+-UTriplet = Pyrazole-5-UDoublet"; -898.78; -890.72; -892.92; -2.20; 
"Pyrazole-5-N2+-USinglet = Pyrazole-5-N2-UDoublet"; -716.13; -721.30; -719.02; 2.27; 
"Pyrazole-5-N2+-UTriplet = Pyrazole-5-N2-UDoublet"; -925.62; -914.96; -919.22; -4.26; 
"1,3,5-(CH3)3-Pyrazole-4+-USinglet = 1,3,5-(CH3)3-Pyrazole-4-UDoublet"; -816.19; -813.79; -813.78; 0.01; 
"1,3,5-(CH3)3-Pyrazole-4+-UTriplet = 1,3,5-(CH3)3-Pyrazole-4-UDoublet"; -784.33; -781.81; -781.61; 0.19; 
"1,3,5-(CH3)3-Pyrazole-4-N2+-USinglet = 1,3,5-(CH3)3-Pyrazole-4-N2-UDoublet"; -611.85; -618.02; -615.72; 2.31; 
"1,3,5-(CH3)3-Pyrazole-4-N2+-UTriplet = 1,3,5-(CH3)3-Pyrazole-4-N2-UDoublet"; -837.17; -826.80; -830.37; -3.57; 
"C13H18N8++-USinglet = C13H18N8+-UDoublet"; 2477646.58; 2476966.11; 2476761.41; -204.83; 
"C13H18N8++-UTriplet = C13H18N8+-UDoublet"; 2477400.29; 2476739.78; 2476526.78; -213.14; 
"C13H18N8+-USinglet = C13H18N8-UDoublet"; 0.00; 0.00; 0.00; 0.00; 
"C13H18N8+-UTriplet = C13H18N8-UDoublet"; 0.00; 0.00; 0.00; 0.00; 
"C13H18N6++-USinglet = C13H18N6+-UDoublet"; -1010.47; -1007.29; -1007.41; -0.12; 
"C13H18N6++-UTriplet = C13H18N6+-UDoublet"; -980.22; -977.81; -977.09; 0.72; 
"C13H18N6+-USinglet = C13H18N6-UDoublet"; 0.00; 0.00; 0.00; 0.00; 
"C13H18N6+-UTriplet = C13H18N6-UDoublet"; 0.00; 0.00; 0.00; 0.00; 
"C13H18N4++-USinglet = C13H18N4+-UDoublet"; 1901938.90; 1901313.83; 1901127.47; -186.49; 
"C13H18N4++-UTriplet = C13H18N4+-UDoublet"; 1901969.37; 1901343.88; 1901157.99; -186.01; 
"C13H18N4+-USinglet = C13H18N4-UDoublet"; 0.00; 0.00; 0.00; 0.00; 
"C13H18N4+-UTriplet = C13H18N4-UDoublet"; 0.00; 0.00; 0.00; 0.00; 
"Imidazole-2+-USinglet = Imidazole-2-UDoublet"; -906.49; -903.91; -902.39; 1.53; 
"Imidazole-2+-UTriplet = Imidazole-2-UDoublet"; -856.35; -854.45; -855.02; -0.57; 
"Imidazole-2-N2+-USinglet = Imidazole-2-N2-UDoublet"; -703.86; -709.57; -707.44; 2.13; 
"Imidazole-2-N2+-UTriplet = Imidazole-2-N2-UDoublet"; -877.63; -871.00; -874.30; -3.30; 
"Imidazole-4+-USinglet = Imidazole-4-UDoublet"; -885.71; -884.48; -884.57; -0.09; 
"Imidazole-4+-UTriplet = Imidazole-4-UDoublet"; -846.49; -843.53; -844.66; -1.13; 
"Imidazole-4-N2+-USinglet = Imidazole-4-N2-UDoublet"; -657.31; -665.10; -661.73; 3.37; 
"Imidazole-4-N2+-UTriplet = Imidazole-4-N2-UDoublet"; -878.12; -871.57; -875.02; -3.45; 
"Imidazole-5+-USinglet = Imidazole-5-UDoublet"; -912.43; -908.20; -909.88; -1.68; 
"Imidazole-5+-UTriplet = Imidazole-5-UDoublet"; -846.80; -843.74; -844.64; -0.90; 
"Imidazole-5-N2+-USinglet = Imidazole-5-N2-UDoublet"; -693.64; -699.70; -697.26; 2.44; 
"Imidazole-5-N2+-UTriplet = Imidazole-5-N2-UDoublet"; -879.20; -872.44; -875.56; -3.12; 
"1H-1,2,3-Triazole-4+-USinglet = 1H-1,2,3-Triazole-4-UDoublet"; -971.75; -968.65; -968.23; 0.42; 
"1H-1,2,3-Triazole-4+-UTriplet = 1H-1,2,3-Triazole-4-UDoublet"; -952.94; -945.01; -947.41; -2.41; 
"1H-1,2,3-Triazole-4-N2+-USinglet = 1H-1,2,3-Triazole-4-N2-UDoublet"; -710.85; -717.17; -714.09; 3.08; 
"1H-1,2,3-Triazole-4-N2+-UTriplet = 1H-1,2,3-Triazole-4-N2-UDoublet"; -967.83; -956.28; -961.40; -5.13; 
"1H-1,2,3-Triazole-5+-USinglet = 1H-1,2,3-Triazole-5-UDoublet"; -1007.38; -1002.41; -1002.67; -0.26; 
"1H-1,2,3-Triazole-5+-UTriplet = 1H-1,2,3-Triazole-5-UDoublet"; -819.33; -792.92; -806.47; -13.56; 
"1H-1,2,3-Triazole-5-N2+-USinglet = 1H-1,2,3-Triazole-5-N2-UDoublet"; -756.78; -761.88; -759.11; 2.77; 
"1H-1,2,3-Triazole-5-N2+-UTriplet = 1H-1,2,3-Triazole-5-N2-UDoublet"; -980.36; -965.25; -972.45; -7.21; 
"1H-1,2,4-Triazole-3+-USinglet = 1H-1,2,4-Triazole-3-UDoublet"; -960.45; -958.43; -957.71; 0.72; 
"1H-1,2,4-Triazole-3+-UTriplet = 1H-1,2,4-Triazole-3-UDoublet"; -973.92; -969.08; -970.42; -1.34; 
"1H-1,2,4-Triazole-3-N2+-USinglet = 1H-1,2,4-Triazole-3-N2-UDoublet"; -712.63; -721.20; -716.39; 4.81; 
"1H-1,2,4-Triazole-3-N2+-UTriplet = 1H-1,2,4-Triazole-3-N2-UDoublet"; -975.27; -969.37; -971.25; -1.88; 
"1H-1,2,4-Triazole-5+-USinglet = 1H-1,2,4-Triazole-5-UDoublet"; -1009.64; -1002.20; -1003.35; -1.15; 
"1H-1,2,4-Triazole-5+-UTriplet = 1H-1,2,4-Triazole-5-UDoublet"; -973.84; -969.10; -970.24; -1.14; 
"1H-1,2,4-Triazole-5-N2+-USinglet = 1H-1,2,4-Triazole-5-N2-UDoublet"; -764.53; -769.49; -766.85; 2.64; 
"1H-1,2,4-Triazole-5-N2+-UTriplet = 1H-1,2,4-Triazole-5-N2-UDoublet"; -981.58; -971.29; -976.40; -5.12; 
"2H-1,2,3-Triazole-4+-USinglet = 2H-1,2,3-Triazole-4-UDoublet"; -987.79; -984.19; -983.80; 0.39; 
"2H-1,2,3-Triazole-4+-UTriplet = 2H-1,2,3-Triazole-4-UDoublet"; -989.24; -981.99; -983.55; -1.56; 
"2H-1,2,3-Triazole-4-N2+-USinglet = 2H-1,2,3-Triazole-4-N2-UDoublet"; -717.73; -725.09; -721.37; 3.72; 
"2H-1,2,3-Triazole-4-N2+-UTriplet = 2H-1,2,3-Triazole-4-N2-UDoublet"; -1048.50; -1039.09; -1041.33; -2.24; 
"4H-1,2,4-Triazole-3+-USinglet = 4H-1,2,4-Triazole-3-UDoublet"; -975.01; -971.41; -971.65; -0.24; 
"4H-1,2,4-Triazole-3+-UTriplet = 4H-1,2,4-Triazole-3-UDoublet"; -964.44; -957.51; -959.58; -2.07; 
"4H-1,2,4-Triazole-3-N2+-USinglet = 4H-1,2,4-Triazole-3-N2-UDoublet"; -753.37; -759.17; -756.18; 2.99; 
"4H-1,2,4-Triazole-3-N2+-UTriplet = 4H-1,2,4-Triazole-3-N2-UDoublet"; -965.81; -957.31; -960.41; -3.10; 
"Tetrazole-5+-USinglet = Tetrazole-5-UDoublet"; -790.05; -782.89; -790.02; -7.13; 
"Tetrazole-5+-UTriplet = Tetrazole-5-UDoublet"; -1072.06; -1063.03; -1065.46; -2.43; 
"Tetrazole-5-N2+-USinglet = Tetrazole-5-N2-UDoublet"; -815.73; -820.97; -817.55; 3.42; 
"Tetrazole-5-N2+-UTriplet = Tetrazole-5-N2-UDoublet"; -1067.13; -1053.06; -1059.94; -6.88; 
"Furan-2+-USinglet = Furan-2-UDoublet"; -915.72; -913.28; -912.15; 1.13; 
"Furan-2+-UTriplet = Furan-2-UDoublet"; -848.21; -846.11; -847.06; -0.95; 
"Furan-2-N2+-USinglet = Furan-2-N2-UDoublet"; -691.07; -697.50; -695.14; 2.36; 
"Furan-2-N2+-UTriplet = Furan-2-N2-UDoublet"; -875.86; -869.92; -872.77; -2.85; 
"Furan-3+-USinglet = Furan-3-UDoublet"; -928.03; -925.79; -924.88; 0.90; 
"Furan-3+-UTriplet = Furan-3-UDoublet"; -859.57; -856.05; -857.42; -1.37; 
"Furan-3-N2+-USinglet = Furan-3-N2-UDoublet"; -674.26; -682.32; -678.47; 3.85; 
"Furan-3-N2+-UTriplet = Furan-3-N2-UDoublet"; -884.76; -878.81; -881.36; -2.55; 
"Thiophene-2+-USinglet = Thiophene-2-UDoublet"; -878.60; -876.75; -875.96; 0.80; 
"Thiophene-2+-UTriplet = Thiophene-2-UDoublet"; -841.34; -839.11; -840.19; -1.07; 
"Thiophene-2-N2+-USinglet = Thiophene-2-N2-UDoublet"; -670.17; -676.91; -674.51; 2.40; 
"Thiophene-2-N2+-UTriplet = Thiophene-2-N2-UDoublet"; -869.28; -863.08; -866.28; -3.20; 
"Thiophene-3+-USinglet = Thiophene-3-UDoublet"; -852.03; -847.77; -848.56; -0.78; 
"Thiophene-3+-UTriplet = Thiophene-3-UDoublet"; -857.20; -853.14; -854.86; -1.73; 
"Thiophene-3-N2+-USinglet = Thiophene-3-N2-UDoublet"; -659.01; -666.73; -663.07; 3.66; 
"Thiophene-3-N2+-UTriplet = Thiophene-3-N2-UDoublet"; -878.71; -872.16; -875.37; -3.21; 
