"Reaction "; dE; dG 298.15; dH 298.15; dS*298.15; 
"CH3+-USinglet = CH3-UDoublet"; -954.08; -959.69; -957.43; 2.26; 
"CH3+-UTriplet = CH3-UDoublet"; -1293.77; -1278.87; -1279.90; -1.03; 
"CH3-N2+-USinglet = CH3-N2-UDoublet"; -710.76; -718.93; -714.95; 3.98; 
"CH3-N2+-UTriplet = CH3-N2-UDoublet"; -1186.53; -1172.72; -1173.62; -0.90; 
"C2H5+-USinglet = C2H5-UDoublet"; -788.09; -796.17; -789.38; 6.80; 
"C2H5+-UTriplet = C2H5-UDoublet"; -1141.40; -1119.17; -1119.02; 0.15; 
"C2H5-N2+-USinglet = C2H5-N2-UDoublet"; -685.45; -692.89; -689.27; 3.62; 
"C2H5-N2+-UTriplet = C2H5-N2-UDoublet"; -1124.05; -1101.51; -1104.12; -2.61; 
"1-CH3-C2H4+-USinglet = 1-CH3-C2H4-UDoublet"; -709.39; -714.86; -709.52; 5.34; 
"1-CH3-C2H4+-UTriplet = 1-CH3-C2H4-UDoublet"; -1078.45; -1059.04; -1059.90; -0.86; 
"1-CH3-C2H4-N2+-USinglet = 1-CH3-C2H4-N2-UDoublet"; -663.62; -669.66; -667.34; 2.32; 
"1-CH3-C2H4-N2+-UTriplet = 1-CH3-C2H4-N2-UDoublet"; -1069.99; -1054.03; -1059.31; -5.28; 
"1,1-(CH3)2-C2H3+-USinglet = 1,1-(CH3)2-C2H3-UDoublet"; -650.04; -648.74; -650.60; -1.86; 
"1,1-(CH3)2-C2H3+-UTriplet = 1,1-(CH3)2-C2H3-UDoublet"; -1030.07; -1014.97; -1019.81; -4.85; 
"1,1-(CH3)2-C2H3-N2+-USinglet = 1,1-(CH3)2-C2H3-N2-UDoublet"; -580.40; -549.08; -574.71; -25.65; 
"1,1-(CH3)2-C2H3-N2+-UTriplet = 1,1-(CH3)2-C2H3-N2-UDoublet"; -1032.86; -1017.14; -1023.20; -6.07; 
"Pyridine-2+-USinglet = Pyridine-2-UDoublet"; -756.19; -757.17; -755.79; 1.38; 
"Pyridine-2+-UTriplet = Pyridine-2-UDoublet"; -927.48; -919.04; -922.89; -3.85; 
"Pyridine-2-N2+-USinglet = Pyridine-2-N2-UDoublet"; -676.81; -685.53; -680.32; 5.22; 
"Pyridine-2-N2+-UTriplet = Pyridine-2-N2-UDoublet"; -930.49; -922.30; -925.18; -2.88; 
"Pyridine-3+-USinglet = Pyridine-3-UDoublet"; -807.61; -805.95; -805.01; 0.95; 
"Pyridine-3+-UTriplet = Pyridine-3-UDoublet"; -910.16; -903.99; -906.41; -2.43; 
"Pyridine-3-N2+-USinglet = Pyridine-3-N2-UDoublet"; -684.21; -691.43; -687.71; 3.72; 
"Pyridine-3-N2+-UTriplet = Pyridine-3-N2-UDoublet"; -919.85; -912.16; -914.33; -2.17; 
"Pyridine-4+-USinglet = Pyridine-4-UDoublet"; -823.98; -817.41; -817.62; -0.21; 
"Pyridine-4+-UTriplet = Pyridine-4-UDoublet"; -910.17; -904.32; -906.70; -2.37; 
"Pyridine-4-N2+-USinglet = Pyridine-4-N2-UDoublet"; -703.64; -710.58; -706.61; 3.98; 
"Pyridine-4-N2+-UTriplet = Pyridine-4-N2-UDoublet"; -902.35; -896.87; -898.25; -1.37; 
"Pyrazine-2+-USinglet = Pyrazine-2-UDoublet"; -782.24; -783.30; -781.54; 1.76; 
"Pyrazine-2+-UTriplet = Pyrazine-2-UDoublet"; -956.78; -950.21; -952.42; -2.22; 
"Pyrazine-2-N2+-USinglet = Pyrazine-2-N2-UDoublet"; -709.56; -717.36; -712.37; 5.00; 
