"Reaction "; dE; dG 298.15; dH 298.15; dS*298.15; 
"Pyrazole-3-N2+-USinglet = Pyrazole-3-N2+-UTriplet"; 255.75; 241.26; 247.61; 6.36; 
"Pyrazole-4+-USinglet = Pyrazole-4+-UTriplet"; -22.42; -23.38; -22.35; 1.03; 
"Pyrazole-4-N2+-USinglet = Pyrazole-4-N2+-UTriplet"; 249.59; 233.61; 241.24; 7.63; 
"Pyrazole-5+-USinglet = Pyrazole-5+-UTriplet"; -51.41; -54.17; -51.63; 2.54; 
"Pyrazole-5-N2+-USinglet = Pyrazole-5-N2+-UTriplet"; 209.48; 193.66; 200.20; 6.54; 
"1,3,5-(CH3)3-Pyrazole-4+-USinglet = 1,3,5-(CH3)3-Pyrazole-4+-UTriplet"; -31.86; -31.99; -32.17; -0.18; 
"1,3,5-(CH3)3-Pyrazole-4-N2+-USinglet = 1,3,5-(CH3)3-Pyrazole-4-N2+-UTriplet"; 225.32; 208.78; 214.66; 5.88; 
"C13H18N8++-USinglet = C13H18N8++-UTriplet"; 246.29; 226.33; 234.63; 8.31; 
"C13H18N8+-USinglet = C13H18N8+-UTriplet"; 0.00; 0.00; 0.00; 0.00; 
"C13H18N8-USinglet = C13H18N8-UTriplet"; -2479042.65; -2478374.01; -2478164.77; 209.37; 
"C13H18N6++-USinglet = C13H18N6++-UTriplet"; -30.25; -29.48; -30.32; -0.84; 
"C13H18N6+-USinglet = C13H18N6+-UTriplet"; 0.00; 0.00; 0.00; 0.00; 
"C13H18N6-USinglet = C13H18N6-UTriplet"; -2191406.70; -2190761.57; -2190559.25; 202.46; 
"C13H18N4++-USinglet = C13H18N4++-UTriplet"; -30.47; -30.05; -30.52; -0.48; 
"C13H18N4+-USinglet = C13H18N4+-UTriplet"; 0.00; 0.00; 0.00; 0.00; 
"C13H18N4-USinglet = C13H18N4-UTriplet"; -1903774.62; -1903141.58; -1902957.34; 184.36; 
"Imidazole-2+-USinglet = Imidazole-2+-UTriplet"; -50.15; -49.46; -47.37; 2.10; 
"Imidazole-2-N2+-USinglet = Imidazole-2-N2+-UTriplet"; 173.76; 161.43; 166.86; 5.43; 
"Imidazole-4+-USinglet = Imidazole-4+-UTriplet"; -39.22; -40.95; -39.91; 1.04; 
"Imidazole-4-N2+-USinglet = Imidazole-4-N2+-UTriplet"; 220.81; 206.47; 213.29; 6.83; 
"Imidazole-5+-USinglet = Imidazole-5+-UTriplet"; -65.62; -64.46; -65.24; -0.78; 
"Imidazole-5-N2+-USinglet = Imidazole-5-N2+-UTriplet"; 185.56; 172.73; 178.29; 5.56; 
"1H-1,2,3-Triazole-4+-USinglet = 1H-1,2,3-Triazole-4+-UTriplet"; -18.80; -23.65; -20.81; 2.83; 
"1H-1,2,3-Triazole-4-N2+-USinglet = 1H-1,2,3-Triazole-4-N2+-UTriplet"; 256.99; 239.10; 247.31; 8.22; 
"1H-1,2,3-Triazole-5+-USinglet = 1H-1,2,3-Triazole-5+-UTriplet"; -188.05; -209.49; -196.20; 13.30; 
"1H-1,2,3-Triazole-5-N2+-USinglet = 1H-1,2,3-Triazole-5-N2+-UTriplet"; 223.58; 203.37; 213.34; 9.98; 
"1H-1,2,4-Triazole-3+-USinglet = 1H-1,2,4-Triazole-3+-UTriplet"; 13.47; 10.65; 12.71; 2.06; 
"1H-1,2,4-Triazole-3-N2+-USinglet = 1H-1,2,4-Triazole-3-N2+-UTriplet"; 262.64; 248.17; 254.86; 6.69; 
"1H-1,2,4-Triazole-5+-USinglet = 1H-1,2,4-Triazole-5+-UTriplet"; -35.80; -33.09; -33.11; -0.02; 
"1H-1,2,4-Triazole-5-N2+-USinglet = 1H-1,2,4-Triazole-5-N2+-UTriplet"; 217.05; 201.80; 209.55; 7.76; 
"2H-1,2,3-Triazole-4+-USinglet = 2H-1,2,3-Triazole-4+-UTriplet"; 1.45; -2.20; -0.25; 1.95; 
"2H-1,2,3-Triazole-4-N2+-USinglet = 2H-1,2,3-Triazole-4-N2+-UTriplet"; 330.77; 314.00; 319.95; 5.96; 
"4H-1,2,4-Triazole-3+-USinglet = 4H-1,2,4-Triazole-3+-UTriplet"; -10.57; -13.90; -12.06; 1.84; 
"4H-1,2,4-Triazole-3-N2+-USinglet = 4H-1,2,4-Triazole-3-N2+-UTriplet"; 212.44; 198.14; 204.22; 6.08; 
"Tetrazole-5+-USinglet = Tetrazole-5+-UTriplet"; 282.00; 280.14; 275.44; -4.70; 
"Tetrazole-5-N2+-USinglet = Tetrazole-5-N2+-UTriplet"; 251.40; 232.09; 242.39; 10.30; 
"Furan-2+-USinglet = Furan-2+-UTriplet"; -67.52; -67.17; -65.09; 2.08; 
"Furan-2-N2+-USinglet = Furan-2-N2+-UTriplet"; 184.79; 172.42; 177.64; 5.22; 
"Furan-3+-USinglet = Furan-3+-UTriplet"; -68.46; -69.73; -67.46; 2.27; 
"Furan-3-N2+-USinglet = Furan-3-N2+-UTriplet"; 210.50; 196.49; 202.89; 6.40; 
"Thiophene-2+-USinglet = Thiophene-2+-UTriplet"; -37.26; -37.64; -35.77; 1.87; 
"Thiophene-2-N2+-USinglet = Thiophene-2-N2+-UTriplet"; 199.11; 186.17; 191.77; 5.60; 
"Thiophene-3+-USinglet = Thiophene-3+-UTriplet"; 5.17; 5.36; 6.31; 0.94; 
"Thiophene-3-N2+-USinglet = Thiophene-3-N2+-UTriplet"; 219.71; 205.43; 212.30; 6.87; 
